P18YM_PB,PSINDER,VPH_NDACMM,VPH_SINCINT
4516388.0,2502789.0,1385629.0,561128.0
234812.0,90370.0,65802.0,22687.0
234812.0,90370.0,65802.0,22687.0
1751.0,603.0,376.0,148.0
97.0,27.0,25.0,9.0
76.0,46.0,15.0,9.0
64.0,17.0,16.0,6.0
89.0,38.0,14.0,7.0
93.0,21.0,17.0,7.0
81.0,23.0,13.0,4.0
103.0,31.0,22.0,8.0
68.0,10.0,10.0,6.0
70.0,22.0,12.0,7.0
0.0,0.0,0.0,0.0
135.0,56.0,23.0,9.0
119.0,47.0,23.0,13.0
133.0,44.0,26.0,9.0
87.0,25.0,20.0,6.0
0.0,0.0,0.0,0.0
69.0,26.0,22.0,15.0
63.0,22.0,11.0,4.0
44.0,17.0,10.0,4.0
38.0,11.0,17.0,4.0
102.0,33.0,14.0,5.0
105.0,52.0,34.0,8.0
42.0,11.0,13.0,3.0
70.0,21.0,17.0,4.0
2575.0,1034.0,1216.0,393.0
0.0,0.0,0.0,0.0
53.0,20.0,24.0,14.0
45.0,33.0,33.0,14.0
40.0,23.0,20.0,10.0
34.0,15.0,21.0,8.0
24.0,13.0,13.0,6.0
93.0,30.0,36.0,11.0
79.0,26.0,22.0,6.0
39.0,18.0,27.0,7.0
50.0,38.0,28.0,6.0
33.0,15.0,10.0,5.0
104.0,43.0,54.0,12.0
76.0,45.0,38.0,15.0
122.0,40.0,40.0,12.0
43.0,29.0,28.0,10.0
106.0,29.0,45.0,13.0
36.0,16.0,24.0,5.0
41.0,19.0,21.0,4.0
50.0,47.0,38.0,19.0
50.0,24.0,28.0,11.0
58.0,16.0,22.0,6.0
93.0,29.0,34.0,7.0
37.0,5.0,19.0,5.0
97.0,24.0,46.0,13.0
19.0,3.0,6.0,4.0
73.0,25.0,30.0,12.0
153.0,49.0,72.0,21.0
182.0,81.0,81.0,21.0
391.0,137.0,179.0,64.0
49.0,17.0,24.0,12.0
47.0,27.0,21.0,6.0
33.0,8.0,13.0,3.0
0.0,0.0,0.0,0.0
96.0,69.0,65.0,11.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1923.0,899.0,742.0,250.0
114.0,65.0,56.0,23.0
35.0,20.0,16.0,8.0
126.0,43.0,25.0,9.0
75.0,39.0,14.0,3.0
42.0,21.0,25.0,7.0
51.0,20.0,21.0,8.0
101.0,54.0,56.0,20.0
79.0,28.0,30.0,7.0
78.0,37.0,21.0,11.0
132.0,62.0,49.0,12.0
51.0,38.0,23.0,5.0
50.0,29.0,24.0,10.0
91.0,29.0,14.0,8.0
